CWNU_id,l,b,sig_l,sig_b,n,plx,sig_plx,pmx,sig_pmx,pmy,sig_pmy,rv,sig_rv,nrv,logage,A0,m-M,class,RA_ICRS,DE_ICRS
CWNU_1271,115.223,-6.073,0.095,0.083,45,0.44,0.052,-5.097,0.086,-1.579,0.072,-47.99,,1,8.15,0.8,11.65,1,359.0699,55.97096
CWNU_1272,276.428,1.151,0.088,0.055,26,0.387,0.035,-5.349,0.049,2.852,0.081,12.51,,1,8.15,2.5,11.8,1,146.52513,-51.91844
CWNU_1273,237.917,0.226,0.108,0.067,45,0.363,0.033,-3.228,0.083,3.154,0.083,,,0,7.55,1.25,11.95,1,115.06767,-21.96954
CWNU_1274,195.524,1.377,0.06,0.072,45,0.327,0.057,0.117,0.083,-1.0,0.11,34.73,1.42,2,8.9,1.3,12.1,1,95.98589,16.08964
CWNU_1275,319.505,-1.27,0.045,0.029,45,0.347,0.071,-3.757,0.08,-2.856,0.096,,,0,6.65,5.6,12.15,1,227.2127,-59.64511
CWNU_1276,98.916,-2.338,0.137,0.06,44,0.429,0.032,-2.458,0.095,-3.151,0.088,-58.31,8.99,2,8.65,1.3,11.7,1,330.91228,52.5294
CWNU_1277,229.72,1.855,0.056,0.064,25,0.294,0.068,-1.659,0.055,0.864,0.057,,,0,8.5,1,12.65,1,112.37792,-14.01421
CWNU_1278,149.583,0.977,0.128,0.059,44,0.298,0.028,-0.001,0.102,-1.221,0.068,-61.8,14.69,2,9.0,1.75,12.25,1,61.6827,53.42623
CWNU_1279,351.445,-0.474,0.107,0.082,25,0.591,0.031,1.408,0.078,-0.507,0.086,,,0,7.05,3.8,11.2,1,261.38451,-36.39323
CWNU_1280,253.762,2.665,0.03,0.032,44,0.2,0.054,-3.315,0.056,4.18,0.083,72.04,2.07,3,8.8,1.35,13.1,1,127.02819,-34.0599
CWNU_1281,207.682,0.179,0.132,0.194,44,0.644,0.045,-1.972,0.083,0.816,0.067,,,0,7.6,1.1,10.85,1,100.62,4.75288
CWNU_1282,354.381,-1.454,0.037,0.023,25,0.305,0.038,-0.996,0.106,-2.502,0.091,,,0,6.2,5.05,13.15,1,264.3653,-34.47462
CWNU_1283,320.305,-1.431,0.099,0.073,25,0.357,0.045,-4.763,0.097,-3.768,0.079,-56.12,,1,6.35,2.3,12.6,1,228.72914,-59.37388
CWNU_1284,9.397,-0.549,0.029,0.024,44,0.366,0.039,-1.246,0.077,-2.594,0.057,-29.4,1.79,5,8.5,4.6,12.2,1,272.14044,-21.08374
CWNU_1285,52.74,0.553,0.058,0.042,43,0.356,0.063,-1.72,0.097,-5.49,0.056,20.1,,1,8.2,4.35,11.95,1,291.67618,17.81699
CWNU_1286,63.813,-1.129,0.188,0.091,25,0.617,0.037,-1.182,0.031,-5.394,0.067,23.22,,1,6.65,1.1,11.15,1,299.19707,26.59751
CWNU_1287,94.795,-1.656,0.086,0.111,43,0.227,0.017,-3.449,0.068,-3.699,0.074,-86.06,,1,6.65,2.7,13.35,1,325.07444,50.47141
CWNU_1288,132.937,-1.448,0.136,0.076,25,0.317,0.041,-1.244,0.052,0.093,0.086,-59.64,,1,8.6,2.6,12.2,1,33.08519,59.84288
CWNU_1289,58.412,-1.89,0.056,0.055,25,0.259,0.035,-2.703,0.048,-6.235,0.081,23.99,,1,6.5,4.35,13.6,1,296.88663,21.56913
CWNU_1290,277.527,-3.077,0.08,0.051,43,0.368,0.041,-5.722,0.085,4.484,0.057,-1.39,3.26,2,8.5,3.6,12.15,1,143.17645,-55.81647
CWNU_1291,214.917,-4.557,0.235,0.103,25,0.47,0.033,-1.374,0.059,-1.108,0.063,65.3,13.07,2,8.6,1.5,11.6,1,99.70152,-3.83936
CWNU_1292,28.738,-0.064,0.091,0.065,42,0.335,0.026,-0.597,0.072,-2.565,0.093,,,0,6.7,5.15,12.6,1,281.00146,-3.76109
CWNU_1293,201.265,-1.182,0.329,0.112,42,0.414,0.053,-0.56,0.077,-1.181,0.078,44.77,,1,7.6,1.1,11.7,1,96.41776,9.81867
CWNU_1294,345.985,-2.106,0.117,0.106,42,0.533,0.052,-0.781,0.1,-1.067,0.057,-24.8,25.9,2,8.7,3.1,11.15,1,259.1035,-41.8091
CWNU_1295,183.249,3.88,0.051,0.043,42,0.283,0.027,-0.196,0.119,-1.683,0.049,8.32,7.54,3,8.45,1.3,13.0,1,92.07772,28.07109
CWNU_1296,343.081,-0.137,0.108,0.131,25,0.636,0.05,-0.991,0.128,-1.916,0.085,,,0,6.35,2.25,11.2,1,254.61225,-42.95063
CWNU_1297,140.824,3.161,0.304,0.11,42,0.465,0.045,0.523,0.102,-0.63,0.133,-12.6,,1,8.7,2.85,11.4,1,51.46483,60.55182
CWNU_1298,121.227,-0.057,0.17,0.123,42,0.363,0.035,-2.88,0.064,-0.932,0.05,,,0,8.55,1.5,12.0,1,9.13191,62.76538
CWNU_1299,111.384,0.454,0.097,0.086,42,0.353,0.036,-5.331,0.062,-2.013,0.049,-68.03,11.69,2,8.25,4.2,12.05,1,348.38064,61.11112
CWNU_1300,273.366,0.885,0.082,0.058,45,0.528,0.048,-5.287,0.067,3.9,0.108,19.13,,1,7.5,2.6,11.25,1,142.60815,-50.08223
CWNU_1301,22.111,-1.87,0.103,0.126,25,0.418,0.062,-1.106,0.097,-2.703,0.106,46.48,,1,9.0,3.55,11.55,1,279.56445,-10.4791
CWNU_1302,83.964,-1.09,0.041,0.026,41,0.312,0.049,-1.923,0.08,-4.061,0.105,-76.72,,1,8.7,5.9,12.15,1,313.4283,43.09145
CWNU_1303,350.236,-1.125,0.057,0.049,41,0.425,0.036,-0.103,0.094,-1.2,0.075,,,0,6.7,3.65,11.85,1,261.20987,-37.75916
CWNU_1304,266.878,0.805,0.157,0.066,24,0.484,0.038,-5.087,0.093,4.752,0.079,,,0,7.15,3.2,11.4,1,135.78717,-45.48325
CWNU_1305,198.793,-0.16,0.094,0.057,41,0.336,0.045,0.202,0.105,-2.392,0.092,5.16,2.68,5,9.2,2.25,11.95,1,96.16205,12.48163
CWNU_1306,328.067,-0.388,0.089,0.091,24,0.441,0.053,-3.466,0.086,-4.084,0.096,,,0,6.85,2.2,11.6,1,239.09781,-53.97725
CWNU_1307,6.455,-0.085,0.072,0.068,24,0.45,0.04,0.832,0.083,-0.258,0.073,8.72,0.14,2,8.6,3.6,11.5,1,270.14416,-23.41985
CWNU_1308,17.369,-0.585,0.089,0.065,52,0.333,0.039,-0.639,0.094,-2.031,0.083,38.8,0.19,2,7.8,4.1,12.05,1,276.15446,-14.0887
CWNU_1309,21.278,-1.856,0.05,0.041,24,0.497,0.045,-0.332,0.12,-1.512,0.069,,,0,8.55,4.3,11.25,1,279.16328,-11.21267
CWNU_1310,69.513,1.417,0.042,0.045,40,0.243,0.023,-3.145,0.053,-5.069,0.053,-1.43,,1,8.6,3.45,12.8,1,300.13488,32.78655
CWNU_1311,282.836,-10.602,0.415,0.341,24,0.339,0.057,-5.709,0.166,4.906,0.111,,,0,9.25,1,12.7,1,140.1475,-64.88138
CWNU_1312,95.951,0.511,0.031,0.021,24,0.173,0.033,-3.697,0.069,-4.273,0.072,,,0,8.8,2.85,13.3,1,324.1478,52.85926
CWNU_1313,207.604,-6.134,0.109,0.083,40,0.418,0.075,0.522,0.091,-2.423,0.089,52.08,,1,8.9,1.5,11.8,1,94.96935,1.91654
CWNU_1314,86.043,0.997,0.091,0.075,24,0.443,0.045,-3.632,0.064,-4.026,0.038,,,0,7.4,2.4,11.6,1,313.04844,46.02473
CWNU_1315,267.172,-2.216,0.06,0.019,24,0.219,0.021,-3.476,0.098,3.214,0.038,38.58,3.57,2,8.8,3.4,12.9,1,132.72561,-47.67118
CWNU_1316,279.455,-0.885,0.073,0.06,24,0.369,0.043,-5.19,0.124,3.748,0.089,32.06,,1,8.4,2.35,12.3,1,148.29552,-55.41257
CWNU_1317,168.672,-8.647,0.181,0.109,32,0.382,0.045,1.392,0.15,-1.795,0.121,-0.93,3.1,3,9.15,2.6,12.35,1,70.51197,33.06019
CWNU_1318,217.05,0.56,0.083,0.055,10,0.617,0.019,-0.561,0.062,-0.93,0.047,,,0,7.65,0.65,11.05,1,105.23883,-3.40838
CWNU_1319,278.098,-2.618,0.178,0.084,24,0.638,0.054,-5.611,0.068,3.633,0.081,,,0,7.65,0.7,11.0,1,144.4778,-55.86063
CWNU_1320,267.53,-2.774,0.092,0.06,24,0.405,0.034,-4.707,0.073,3.686,0.074,13.78,,1,8.7,2.6,11.85,1,132.41911,-48.30142
CWNU_1321,248.494,-0.351,0.057,0.037,55,0.239,0.023,-2.028,0.109,2.711,0.074,89.11,,1,8.9,0.85,13.0,1,120.56744,-31.35822
CWNU_1322,75.077,1.689,0.051,0.126,46,0.273,0.025,-3.765,0.111,-6.248,0.094,-24.58,,1,6.7,3.5,13.25,1,303.5295,37.61637
CWNU_1323,297.33,1.0,0.062,0.044,24,0.337,0.023,-6.07,0.108,0.922,0.046,,,0,7.4,1.55,12.1,1,181.11028,-61.35954
CWNU_1324,245.595,-1.455,0.09,0.019,24,0.249,0.037,-2.423,0.092,2.641,0.112,,,0,6.95,1.95,13.6,1,117.72684,-29.45555
CWNU_1325,108.56,3.215,0.089,0.078,39,0.329,0.067,-3.129,0.124,-1.473,0.071,-87.17,,1,8.8,4.05,12.3,1,340.49904,62.41834
CWNU_1326,311.786,-0.739,0.057,0.052,29,0.315,0.034,-6.116,0.057,-2.654,0.143,,,0,8.8,4.05,12.2,1,212.17788,-62.27498
CWNU_1327,301.424,-0.185,0.08,0.049,39,0.455,0.047,-7.519,0.049,-0.221,0.071,-0.78,8.12,3,8.85,3.9,11.45,1,189.53451,-63.0178
CWNU_1328,72.077,-0.464,0.028,0.111,24,0.225,0.025,-3.488,0.067,-5.176,0.09,,,0,6.7,4.35,12.9,1,303.68918,33.92631
CWNU_1329,265.627,-3.791,0.102,0.163,39,0.533,0.035,-5.379,0.1,5.188,0.091,,,0,7.8,1.25,11.25,1,129.47733,-47.43538
CWNU_1330,26.378,-0.581,0.107,0.023,24,0.264,0.03,-1.222,0.042,-3.687,0.075,62.9,,1,8.65,3.1,13.2,1,280.37995,-6.09632
CWNU_1331,213.283,7.836,0.095,0.114,39,0.471,0.049,-1.975,0.085,-0.35,0.068,53.26,,1,8.4,0.6,11.6,1,110.00026,3.25417
CWNU_1332,147.197,3.773,0.123,0.057,39,0.274,0.069,0.111,0.071,-0.168,0.116,,,0,7.15,1.9,12.85,1,61.87802,57.09875
CWNU_1333,315.593,-1.127,0.041,0.029,39,0.254,0.061,-4.533,0.067,-3.12,0.056,-15.27,,1,8.85,3.9,12.6,1,220.01026,-61.30015
CWNU_1334,197.206,5.453,0.103,0.056,39,0.35,0.052,-0.727,0.06,-1.059,0.084,,,0,8.35,0.95,11.95,1,100.56139,16.46675
CWNU_1335,172.656,-1.084,0.334,0.136,24,0.554,0.095,1.345,0.111,-3.58,0.059,15.63,,1,8.7,1.1,11.05,1,80.64214,34.5149
CWNU_1336,73.204,-1.426,0.041,0.043,24,0.349,0.023,-2.261,0.063,-4.399,0.069,,,0,6.65,5.6,12.15,1,305.41542,34.31752
CWNU_1337,238.269,-4.216,0.179,0.16,39,0.744,0.05,-2.128,0.099,2.201,0.094,,,0,6.9,1.35,10.55,1,111.01526,-24.41582
CWNU_1338,87.624,1.371,0.04,0.086,39,0.473,0.04,-3.957,0.085,-4.513,0.09,-19.32,,1,8.0,1.95,11.55,1,314.11585,47.4751
CWNU_1339,262.845,2.354,0.257,0.091,24,0.429,0.061,-4.288,0.16,3.678,0.097,15.79,,1,8.85,2.85,11.55,1,133.7627,-41.42189
CWNU_1340,327.58,2.778,0.082,0.129,39,0.603,0.04,-2.387,0.102,-2.24,0.108,,,0,7.65,1.2,10.95,1,235.20322,-51.79915
CWNU_1341,229.797,-0.567,0.045,0.034,24,0.272,0.048,-0.454,0.06,-0.009,0.049,,,0,8.45,1.1,12.65,1,110.21182,-15.23046
CWNU_1342,306.269,-0.521,0.048,0.02,38,0.28,0.025,-6.58,0.046,-1.363,0.033,-25.43,,1,8.15,2.45,12.55,1,200.27709,-63.20034
CWNU_1343,268.658,1.147,0.285,0.2,24,0.407,0.049,-4.465,0.101,4.133,0.122,,,0,6.0,3.1,12.0,1,137.88006,-46.56633
CWNU_1344,240.411,-2.235,0.368,0.138,38,0.527,0.05,-2.262,0.071,1.732,0.079,,,0,7.9,0.95,11.3,1,114.05958,-25.34911
CWNU_1345,247.668,-0.47,0.042,0.055,29,0.262,0.033,-2.2,0.096,3.027,0.131,49.74,,1,8.9,1.4,12.65,1,119.94058,-30.71953
CWNU_1346,148.805,-1.52,0.211,0.114,38,0.412,0.034,0.721,0.075,-2.016,0.088,6.21,4.2,3,8.9,3.05,11.8,1,58.02314,52.03634
CWNU_1347,346.331,-0.337,0.062,0.047,38,0.414,0.034,-1.174,0.055,-2.324,0.062,-0.98,0.31,3,6.0,5.45,12.1,1,257.47112,-40.49061
CWNU_1348,271.938,-4.371,0.109,0.049,24,0.46,0.035,-7.985,0.069,5.999,0.06,24.25,0.67,3,8.95,1.5,11.55,1,134.94558,-52.69786
CWNU_1349,238.025,0.18,0.026,0.027,38,0.201,0.058,-1.604,0.145,2.14,0.083,131.48,,1,8.7,1.65,13.65,1,115.08198,-22.08618
CWNU_1350,343.217,-1.452,0.066,0.055,38,0.761,0.046,-1.051,0.109,-2.527,0.084,,,0,7.15,2.9,10.5,1,256.15378,-43.65006
CWNU_1351,306.751,-0.832,0.019,0.007,10,0.123,0.004,-6.952,0.032,-1.144,0.032,,,0,6.9,3.15,14.25,1,201.42817,-63.44931
CWNU_1352,98.003,0.488,0.084,0.104,38,0.595,0.058,-2.51,0.089,-1.811,0.068,-22.41,8.64,2,8.65,2.6,11.05,1,326.78119,54.18626
CWNU_1353,309.797,-0.217,0.033,0.027,38,0.33,0.043,-7.262,0.057,-1.696,0.072,-49.86,2.87,2,8.2,3.55,12.15,1,207.75598,-62.29189
CWNU_1354,117.748,1.397,0.046,0.023,23,0.194,0.027,-1.656,0.05,-0.575,0.044,,,0,8.2,2.1,13.15,1,1.05733,63.79258
CWNU_1355,191.17,3.779,0.079,0.055,37,0.612,0.059,-0.811,0.099,-4.056,0.062,,,0,7.6,1.05,11.1,1,96.0883,21.05717
CWNU_1356,292.215,0.107,0.078,0.064,23,0.368,0.023,-5.885,0.048,0.75,0.059,,,0,7.15,1.2,12.05,1,170.39342,-60.8811
CWNU_1357,311.173,10.515,0.228,0.265,42,0.387,0.054,-6.206,0.143,-1.653,0.21,30.35,24.98,2,9.45,1.2,12.5,1,205.94912,-51.51701
CWNU_1358,197.518,-1.712,0.426,0.077,37,0.715,0.066,0.137,0.086,-0.572,0.068,39.23,,1,8.85,0.8,10.6,1,94.14326,12.87483
CWNU_1359,158.938,-0.745,0.214,0.113,23,0.561,0.05,1.33,0.177,-2.051,0.117,,,0,8.9,2.85,11.1,1,69.9504,45.55887
CWNU_1360,247.149,-6.263,0.238,0.121,26,0.322,0.061,-2.344,0.161,3.968,0.119,58.24,1.91,2,9.2,0.95,12.65,1,113.72614,-33.1768
CWNU_1361,249.643,2.006,0.053,0.07,23,0.318,0.04,-2.493,0.12,2.527,0.084,,,0,8.9,0.95,12.35,1,123.61127,-31.04625
CWNU_1362,320.47,-1.293,0.038,0.03,37,0.316,0.052,-4.327,0.072,-4.208,0.049,,,0,8.15,3.55,12.25,1,228.86329,-59.17003
CWNU_1363,63.735,-0.175,0.166,0.054,23,0.401,0.033,-1.743,0.04,-5.851,0.05,,,0,7.75,3,11.8,1,298.23674,27.02365
CWNU_1364,265.715,-3.539,0.042,0.033,37,0.301,0.037,-3.514,0.06,4.488,0.104,36.7,,1,8.5,1.8,12.45,1,129.85217,-47.35275
CWNU_1365,265.521,-1.573,0.04,0.149,36,0.236,0.029,-3.046,0.123,3.47,0.121,,,0,6.7,4.15,13.25,1,131.93083,-45.98576
CWNU_1366,186.415,3.507,0.148,0.075,23,0.528,0.046,0.14,0.054,-1.759,0.069,,,0,7.2,2,11.4,1,93.40323,25.11867
CWNU_1367,64.513,0.46,0.072,0.059,36,0.441,0.033,-3.26,0.07,-6.276,0.101,-5.96,,1,7.65,2.1,11.6,1,298.07196,28.01721
CWNU_1368,252.465,0.351,0.262,0.05,36,0.26,0.036,-2.873,0.086,3.337,0.101,,,0,8.9,0.55,12.65,1,123.83609,-34.31168
CWNU_1369,38.964,-1.831,0.13,0.09,23,0.739,0.025,-0.718,0.072,-4.314,0.103,,,0,7.45,2.1,10.5,1,287.2508,4.52577
CWNU_1370,33.398,-3.023,0.107,0.084,23,0.324,0.049,-1.297,0.114,-3.994,0.081,,,0,9.15,2.45,12.95,1,285.76255,-0.96362
CWNU_1371,89.464,0.596,0.135,0.091,23,0.552,0.042,-2.777,0.068,-4.742,0.059,,,0,7.45,1.9,11.2,1,316.79874,48.34206
CWNU_1372,177.855,3.887,0.037,0.117,36,0.292,0.033,0.337,0.117,-1.483,0.08,40.14,2.06,3,8.95,1.15,12.45,1,89.0226,32.76459
CWNU_1373,65.334,-2.868,0.155,0.178,41,0.275,0.057,-3.045,0.052,-5.372,0.116,-3.9,2.22,3,8.65,4.85,12.3,1,301.75082,26.96809
CWNU_1374,331.967,-0.021,0.046,0.035,36,0.326,0.018,-1.709,0.075,-2.52,0.066,-27.64,,1,7.8,2.95,12.15,1,243.48177,-51.10554
CWNU_1375,281.181,-2.221,0.06,0.051,23,0.68,0.049,-7.052,0.093,3.778,0.075,2.85,,1,8.95,0.5,10.75,1,149.24945,-57.53018
CWNU_1376,99.035,-2.588,0.11,0.037,36,0.374,0.036,-3.529,0.093,-2.065,0.066,,,0,7.6,1.05,11.95,1,331.31277,52.39864
CWNU_1377,298.228,-2.318,0.019,0.022,36,0.25,0.034,-7.128,0.045,0.497,0.093,-39.02,,1,8.75,2.25,12.55,1,181.77063,-64.78388
CWNU_1378,252.251,0.621,0.014,0.021,23,0.21,0.033,-3.123,0.022,5.031,0.069,42.68,0.38,2,9.5,0.55,12.95,1,123.96314,-33.9836
CWNU_1379,182.457,-3.946,0.284,0.062,36,0.682,0.033,-0.793,0.074,-3.586,0.055,,,0,7.6,2.1,10.8,1,84.10415,24.76631
CWNU_1380,299.592,0.042,0.081,0.059,23,0.404,0.053,-5.234,0.041,0.113,0.067,,,0,7.35,1.75,11.8,1,185.5765,-62.64068
CWNU_1381,152.642,-2.403,0.071,0.11,36,0.441,0.048,0.373,0.113,-0.987,0.128,,,0,8.55,2.25,11.55,1,61.69122,48.86798
CWNU_1382,140.945,-2.211,0.05,0.04,36,0.38,0.039,-0.315,0.067,-0.032,0.059,-52.09,,1,8.25,4.65,11.85,1,46.31475,55.90859
CWNU_1383,225.837,0.81,0.023,0.026,36,0.244,0.059,-1.018,0.088,2.034,0.039,66.2,,1,8.4,2.2,12.65,1,109.55454,-11.08709
CWNU_1384,240.812,2.469,0.184,0.035,35,0.264,0.048,-1.893,0.064,2.633,0.063,,,0,8.35,0.8,12.65,1,118.74809,-23.33765
CWNU_1385,73.683,1.506,0.047,0.036,26,0.25,0.029,-3.091,0.056,-5.032,0.061,0.97,7.14,2,8.85,2.95,12.6,1,302.7612,36.35201
CWNU_1386,55.576,-4.837,0.077,0.12,35,0.455,0.043,-1.742,0.077,-4.461,0.061,,,0,7.55,0.85,11.6,1,298.06637,17.63673
CWNU_1387,29.785,-0.297,0.045,0.019,23,0.411,0.034,-1.261,0.069,-2.064,0.117,40.27,,1,8.1,6.3,11.65,1,281.68798,-2.93599
CWNU_1388,23.618,-0.574,0.06,0.049,35,0.315,0.026,-0.857,0.084,-3.084,0.082,28.89,0.49,2,7.65,5.75,12.2,1,279.09779,-8.54578
CWNU_1389,260.578,-3.397,0.125,0.071,35,0.433,0.04,-4.689,0.098,4.602,0.072,,,0,7.25,3.15,11.8,1,125.72751,-43.12264
CWNU_1390,86.805,0.414,0.057,0.025,35,0.267,0.028,-2.66,0.09,-4.581,0.138,,,0,6.65,3.35,13.2,1,314.40048,46.23069
CWNU_1391,3.751,-0.693,0.042,0.035,35,0.446,0.029,-0.51,0.073,-3.103,0.059,,,0,7.2,3.45,11.7,1,269.23858,-26.06649
CWNU_1392,157.739,1.466,0.043,0.058,35,0.368,0.03,0.627,0.137,-0.229,0.106,-18.24,1.53,3,9.05,2.8,12.3,1,71.22643,47.91718
CWNU_1393,238.428,-0.325,0.101,0.1,45,0.316,0.052,-2.025,0.084,2.287,0.114,83.2,6.36,2,8.9,1.1,12.8,1,114.82139,-22.68566
CWNU_1394,274.335,-1.3,0.042,0.039,35,0.397,0.04,-5.741,0.042,5.401,0.066,6.29,,1,8.8,1.9,12.0,1,141.31766,-52.33165
CWNU_1395,244.053,2.924,0.038,0.06,35,0.288,0.046,-2.202,0.05,2.753,0.06,,,0,8.05,0.65,12.4,1,121.0395,-25.8572
CWNU_1396,308.009,4.423,0.076,0.107,22,0.717,0.04,-5.86,0.095,-1.285,0.067,,,0,7.9,1.05,10.7,1,202.4628,-58.06958
CWNU_1397,70.228,2.883,0.113,0.069,35,0.409,0.037,-2.052,0.038,-5.911,0.056,,,0,6.0,0.1,12.2,1,299.08322,34.16139
CWNU_1398,326.052,-1.278,0.053,0.051,22,0.518,0.039,-0.853,0.071,-2.691,0.096,,,0,6.8,3.8,11.5,1,237.36428,-55.94231
CWNU_1399,298.042,-0.131,0.013,0.019,34,0.209,0.057,-8.344,0.054,1.361,0.072,-30.74,9.28,2,9.05,4.05,12.95,1,182.18631,-62.59672
CWNU_1400,21.58,-0.512,0.046,0.043,22,0.309,0.034,-0.808,0.068,-2.453,0.051,41.88,,1,7.55,6.1,12.15,1,278.0902,-10.32597
CWNU_1401,221.259,-0.116,0.163,0.063,34,0.46,0.04,-2.381,0.062,-0.04,0.074,,,0,8.55,1.3,11.55,1,106.57391,-7.45887
CWNU_1402,325.751,-0.46,0.027,0.033,22,0.421,0.07,-2.679,0.049,-2.197,0.049,,,0,7.0,4.55,11.7,1,236.04832,-55.48387
CWNU_1403,239.306,-0.278,0.096,0.042,34,0.283,0.031,-2.55,0.038,3.764,0.054,,,0,8.55,0.85,12.6,1,115.33658,-23.42618
CWNU_1404,190.787,3.462,0.018,0.028,34,0.304,0.084,-0.324,0.086,-0.115,0.049,31.48,,1,8.5,1.65,12.55,1,95.5967,21.24794
CWNU_1405,290.183,0.857,0.067,0.033,22,0.212,0.014,-7.274,0.045,2.85,0.053,,,0,6.75,2.7,13.7,1,167.13593,-59.44364
CWNU_1406,142.034,-2.396,0.081,0.094,34,0.415,0.04,-0.335,0.078,-0.636,0.051,,,0,6.9,4.5,12.05,1,47.81629,55.20356
CWNU_1407,156.878,-2.469,0.087,0.037,22,0.397,0.062,0.026,0.075,-0.394,0.104,-55.33,,1,8.75,3.55,11.7,1,66.13212,45.88737
CWNU_1408,138.81,0.947,0.146,0.195,34,0.384,0.039,0.279,0.043,-0.56,0.088,-41.73,,1,8.55,2.6,12.05,1,45.69982,59.70628
CWNU_1409,11.649,0.954,0.106,0.097,34,0.562,0.021,0.17,0.071,-1.202,0.058,-17.77,,1,6.95,4.05,11.25,1,271.9065,-18.38528
CWNU_1410,217.914,0.942,0.076,0.095,34,0.454,0.043,-0.731,0.047,0.332,0.075,,,0,7.55,0.8,11.6,1,105.97552,-4.00154
CWNU_1411,355.558,-1.139,0.069,0.038,34,0.362,0.057,-0.35,0.065,-2.148,0.084,,,0,6.7,5.1,12.25,1,264.8019,-33.31164
CWNU_1412,11.566,-0.676,0.135,0.039,34,0.339,0.041,0.098,0.08,-2.318,0.073,27.52,2.97,3,8.85,2.25,12.2,1,273.37248,-19.24451
CWNU_1413,301.792,1.273,0.063,0.057,22,0.292,0.052,-8.275,0.063,-0.156,0.098,,,0,6.75,2.95,12.45,1,190.46459,-61.57754
CWNU_1414,243.315,-0.172,0.128,0.057,22,0.327,0.065,-2.487,0.093,2.609,0.084,49.48,9.37,2,8.7,1.15,12.2,1,117.66134,-26.84023
CWNU_1415,311.525,1.355,0.046,0.029,22,0.328,0.048,-8.525,0.063,-2.907,0.051,-66.85,2.39,3,9.2,3.8,12.1,1,210.42806,-60.33902
CWNU_1416,113.346,1.678,0.333,0.173,35,0.323,0.027,-3.961,0.079,-1.621,0.095,-94.07,,1,8.45,3.55,12.2,1,351.39606,62.94082
CWNU_1417,290.184,-1.527,0.018,0.021,22,0.161,0.03,-6.072,0.053,2.509,0.046,24.34,1.86,4,8.65,1.55,13.65,1,165.19982,-61.62946
CWNU_1418,88.326,-0.43,0.111,0.04,22,0.422,0.032,-4.005,0.04,-4.438,0.09,,,0,9.45,0.8,11.8,1,316.7843,46.80988
CWNU_1419,256.836,-3.074,0.187,0.111,22,0.508,0.055,-2.872,0.092,3.384,0.069,,,0,7.0,2.15,11.55,1,123.29135,-39.84623
CWNU_1420,205.453,-0.947,0.117,0.189,34,0.504,0.059,0.049,0.072,-1.568,0.109,,,0,7.6,1.45,11.3,1,98.58752,6.21675
CWNU_1421,171.562,-3.164,0.037,0.04,34,0.313,0.063,-0.879,0.108,-1.108,0.057,-7.83,0.37,3,8.75,1.8,12.1,1,77.82057,34.20426
CWNU_1422,151.582,-0.162,0.056,0.048,34,0.349,0.055,-0.383,0.099,-0.664,0.077,,,0,8.6,2.95,12.0,1,62.83442,51.2358
CWNU_1423,189.85,-4.951,0.098,0.134,34,0.465,0.06,1.089,0.059,-2.548,0.134,,,0,8.55,0.65,11.5,1,87.31666,17.95452
CWNU_1424,111.6,-4.856,0.287,0.167,34,0.605,0.05,-1.661,0.101,-2.146,0.088,,,0,8.65,1.25,11.1,1,352.25751,56.19192
CWNU_1425,25.303,-0.355,0.088,0.041,34,0.559,0.03,0.459,0.07,-4.903,0.067,14.51,1.24,4,8.85,3.45,11.05,1,279.68215,-6.94836
CWNU_1426,280.268,-1.006,0.127,0.09,22,0.656,0.05,-7.594,0.089,4.988,0.031,,,0,7.8,0.45,10.8,1,149.2958,-56.01082
CWNU_1427,346.012,1.562,0.065,0.06,33,0.424,0.043,-0.597,0.083,-1.461,0.052,-39.03,,1,8.4,5,11.55,1,255.24333,-39.59643
CWNU_1428,186.724,2.196,0.151,0.135,38,0.295,0.047,0.288,0.123,-1.715,0.118,14.18,,1,8.75,1.25,12.2,1,92.30006,24.21922
CWNU_1429,321.789,-1.328,0.062,0.028,22,0.513,0.036,-4.316,0.068,-4.864,0.062,,,0,7.2,3.7,11.3,1,231.04909,-58.49143
CWNU_1430,92.126,1.336,0.06,0.071,33,0.426,0.035,-0.169,0.068,-1.836,0.064,-31.95,3.79,3,8.9,4.15,11.65,1,318.77196,50.79059
CWNU_1431,228.527,-2.411,0.147,0.125,33,0.389,0.045,-1.511,0.082,1.386,0.076,,,0,8.55,1.2,11.85,1,107.90935,-14.96519
CWNU_1432,312.128,-1.31,0.036,0.029,22,0.275,0.035,-6.211,0.035,-2.988,0.101,-29.51,,1,8.6,3.1,12.45,1,213.25752,-62.71587
CWNU_1433,136.547,-3.713,0.345,0.109,26,0.36,0.052,-0.62,0.067,-0.484,0.164,-3.84,,1,9.0,1.45,11.95,1,38.02952,56.47387
CWNU_1434,242.151,-0.037,0.021,0.012,33,0.222,0.045,-2.543,0.047,3.198,0.069,,,0,8.9,1.15,13.4,1,117.13176,-25.7689
CWNU_1435,321.743,-0.27,0.12,0.059,22,0.656,0.039,-4.375,0.052,-4.583,0.065,0.82,1.05,3,8.6,3.05,10.8,1,229.88973,-57.62809
CWNU_1436,200.015,3.637,0.054,0.052,33,0.276,0.056,-0.61,0.113,-0.602,0.064,60.79,,1,8.15,1.4,12.75,1,100.19503,13.14821
CWNU_1437,316.328,-1.12,0.029,0.024,33,0.319,0.038,-4.902,0.056,-2.722,0.092,,,0,6.7,4.5,12.75,1,221.38914,-60.98828
